content,video_len,show_time,cls,font_size,color,submit_time,pool,id1,id2
哈哈哈,5253.173,3320.7800292969,1,25,16777215,1466300704,0,7cf71032,1973589321
这个主持在我军火了鹅鹅鹅鹅鹅鹅,5253.173,322.22900390625,1,25,6830715,1466300713,0,df1c133a,1973589515
章鱼宝宝,5253.173,1453.3499755859,1,25,16777215,1466300709,0,17d882d0,1973589575
进行国民美少女的活动？啥啊？,5253.173,644.32702636719,1,25,16777215,1466300778,0,37d50ccb,1973590711
发卡的锅哈哈哈哈,5253.173,2143.6398925781,1,25,16777215,1466300738,0,a8c5ea65,1973590849
发卡~,5253.173,160.05700683594,5,25,15138834,1466300760,0,e92cf81b,1973591747
2333333333,5253.173,1091.5200195312,1,25,16777215,1466300765,0,2dabc7d0,1973591985
鹅吗hhhhhhhh,5253.173,2422.8000488281,1,25,16777215,1466300767,0,2e6d0530,1973592055
孔肖吟在中间，好久没看到消音姐的神魂颠倒了,5253.173,1476.3000488281,1,25,16777215,1466300770,0,17d882d0,1973592225
哦，对了，主持人还是个伪饭，昨天被卡黄一起怼……,5253.173,576.38098144531,1,25,16777215,1466300773,0,6b1299f4,1973592313
卡黄gay要飞！,5253.173,549.08099365234,1,25,16777215,1466300774,0,fa29e1e9,1973592339
大哥hhhhhhhh,5253.173,2431.7900390625,1,25,16777215,1466300788,0,2e6d0530,1973592727
看到贴吧了,5253.173,173.94299316406,5,25,15138834,1466300788,0,e92cf81b,1973592999
自带鬼畜,5253.173,1128.9000244141,1,25,16777215,1466300802,0,2dabc7d0,1973593609
并没有开麦,5253.173,223.46899414062,1,25,16777215,1466300803,0,26ef336b,1973593621
大哥就是一个凹,5253.173,572.291015625,1,25,16777215,1466300804,0,fa29e1e9,1973593669
重温再看一遍卡哥哥,5253.173,8.7799997329712,1,25,16777215,1466300862,0,c32e9f1a,1973594255
啊啊啊,5253.173,1523.7299804688,1,25,16777215,1466300830,0,17d882d0,1973594707
大哥好久不见啊,5253.173,185.72799682617,1,25,16777215,1466300837,0,8cc07e74,1973595013
哈哈哈哈哈哈,5253.173,2434.2299804688,1,25,16707842,1466300845,0,e726a516,1973595091
主持人不如让成员自己说……,5253.173,644.0419921875,1,25,16777215,1466300841,0,6b1299f4,1973595173
完全不需要主持人的发布会,5253.173,327.08499145508,1,25,16777215,1466300844,0,dba67efa,1973595281
你已失去了你的亲妈饭,5253.173,1526.7099609375,1,25,16777215,1466300845,0,17d882d0,1973595381
我上面有人,5253.173,2376.080078125,5,25,16777215,1466300850,0,f524abf4,1973595537
我也来飞啦  卡黄gay一枚,5253.173,43.511001586914,1,25,16777215,1466300871,0,92ce550a,1973596497
哈哈。。,5253.173,248.50100708008,5,25,15138834,1466300877,0,e92cf81b,1973596713
我卡美如画,5253.173,4578.2299804688,1,25,16777215,1466300878,0,f65177c8,1973596781
卡黄起飞的活动~~,5253.173,366.02398681641,1,25,16777215,1466300882,0,dba67efa,1973596971
卡宝的戏我是服气的,5253.173,2144.3898925781,5,25,15138834,1466300886,0,bb9966cb,1973597133
鹅鹅鹅鹅鹅鹅鹅鹅鹅,5253.173,2404.8999023438,5,25,16777215,1466300887,0,f524abf4,1973597157
卡黄 卡黄！,5253.173,581.58001708984,1,25,16777215,1466300898,0,Da306d68,1973597621
主持人闭嘴！别说话！,5253.173,710.11901855469,1,25,16777215,1466300907,0,6b1299f4,1973598019
up红魔？我范将军！！！！,5253.173,11.477999687195,5,25,15138834,1466300914,0,d5b7ba7a,1973598079
护女儿hhhhhhhh老戴萌,5253.173,2509.3400878906,1,25,16777215,1466300917,0,2e6d0530,1973598245
23333,5253.173,1242.0600585938,1,25,16777215,1466300916,0,2dabc7d0,1973598449
蜜汁娇喘,5253.173,2425.6000976562,1,25,16777215,1466300972,0,f524abf4,1973598965
黑锅抱一起了刚刚？,5253.173,213.17399597168,1,25,16777215,1466300942,0,c32e9f1a,1973599513
这个主持又娘有尴尬,5253.173,344.58898925781,1,25,16777215,1466300946,0,26ef336b,1973599693
现场看主持人真的很可怜,5253.173,338.15399169922,1,25,16777215,1466300950,0,2efdb02d,1973599871
独占发卡！不要跟我抢,5253.173,309.5,5,25,15138834,1466300953,0,e92cf81b,1973599983
聚聚都笑了,5253.173,358.62600708008,1,25,16777215,1466300960,0,26ef336b,1973600331
大哥好想你QAQ,5253.173,548.36602783203,1,25,16777215,1466300964,0,8610b205,1973600511
喜欢卡宝这个发型,5253.173,223.63400268555,1,25,16777215,1466300965,0,c32e9f1a,1973600589
主持人没做功课,5253.173,322.43701171875,5,25,15138834,1466300987,0,e92cf81b,1973601277
17打碟,5253.173,1320.7299804688,1,25,16777215,1466300995,0,2dabc7d0,1973601831
欢送？她们都还没介绍呢,5253.173,325.08499145508,5,25,15138834,1466300996,0,e92cf81b,1973601881
卡哥我服,5253.173,3582.4599609375,1,25,16777215,1466301009,0,842688ed,1973602411
主持人,5253.173,330.86700439453,5,25,15138834,1466301010,0,e92cf81b,1973602455
鹅神！,5253.173,703.90698242188,1,25,16777215,1466301014,0,Da306d68,1973602953
233,5253.173,357.26901245117,1,25,16777215,1466301067,0,8cc07e74,1973603139
又是非常棒,5253.173,1365.4599609375,1,25,16777215,1466301026,0,2758b71e,1973603261
哈哈哈哈站一秒黑锅,5253.173,244.05400085449,1,25,16777215,1466301027,0,c32e9f1a,1973603289
大哥！大哥！想死你累,5253.173,188.38600158691,1,25,16777215,1466301035,0,8732016d,1973603673
鹅鹅鹅额额,5253.173,598.7080078125,1,25,6830715,1466301045,0,df1c133a,1973603795
